"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"M. Kyser",30001913,26944,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/81/73/0000468173_03.jpg",1662037200
"M. Kyser",30001913,27041,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/81/67/0000468167_03.jpg",1663246800
"E. Sulejmanovic",20210828,27005,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/80/67/0000468067_03.jpg",1664197200
"E. Sulejmanovic",20210828,25952,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/80/58/0000468058_03.jpg",1664197200
"N. Radicevic",30001914,26982,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/81/94/0000468194_03.jpg",1664204400
"N. Radicevic",30001914,26981,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/81/87/0000468187_03.jpg",1664204400
"V. Gerun",20212773,26709,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/02/23/0000470223_03.jpg",1662044400
"V. Gerun",20212773,26708,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/75/42/0000467542_03.jpg",1662037200
"A. Reyes",20204133,26992,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/80/19/0000468019_03.jpg",1664204400
"A. Reyes",20204133,26146,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/80/18/0000468018_03.jpg",1630454400
"E. Báez",20202155,26704,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/00/75/0000470075_03.jpg",1662044400
"E. Báez",20202155,26036,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/73/84/0000467384_03.jpg",1662037200
"F. Alonso",20210585,27002,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/80/99/0000468099_03.jpg",1664204400
"F. Alonso",20210585,26002,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/80/85/0000468085_03.jpg",1664197200
"D. Bertans",20210643,26703,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/00/49/0000470049_03.jpg",1662044400
"D. Bertans",20210643,26224,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/73/66/0000467366_03.jpg",1662037200
"P. Pozas",20200279,26707,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/01/54/0000470154_03.jpg",1662044400
"P. Pozas",20200279,26225,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/74/81/0000467481_03.jpg",1662037200
"P. Almazán",20204078,26701,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/01/36/0000470136_03.jpg",1662051600
"P. Almazán",20204078,26231,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/74/62/0000467462_03.jpg",1662037200
"I. Rosa",20210134,26999,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/81/12/0000468112_03.jpg",1664197200
"I. Rosa",20210134,26998,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/81/03/0000468103_03.jpg",1664197200
"A. Sylla",30002005,26705,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/73/26/0000467326_03.jpg",1662037200
"A. Sylla",30002005,26706,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/00/12/0000470012_03.jpg",1662044400
"A. Cvetkovic",20212204,26696,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/99/91/0000469991_03.jpg",1662051600
"A. Cvetkovic",20212204,26022,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/73/09/0000467309_03.jpg",1662037200
"J. Hollatz",30001955,27049,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/72/62/0000477262_03.jpg",1662044400
"J. Hollatz",30001955,27048,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/47/72/52/0000477252_03.jpg",1662044400
"L. Kromah",30002008,26291,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/35/21/0000463521_03.jpg",1662037200
"L. Kromah",30002008,26350,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/35/27/0000463527_03.jpg",1662037200
"J. Fernández",30000138,26282,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/35/00/0000463500_03.jpg",1662037200
"J. Fernández",30000138,26355,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/35/11/0000463511_03.jpg",1662037200
"D. Ristic",30001145,26108,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/98/55/0000469855_03.jpg",1663246800
"D. Ristic",30001145,27000,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/98/71/0000469871_03.jpg",1663246800
"J. Senglin",30000054,26347,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/34/66/0000463466_03.jpg",1662037200
"J. Senglin",30000054,26360,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/34/59/0000463459_03.jpg",1662037200
"C. Hannah",20211327,26349,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/34/38/0000463438_03.jpg",1662037200
"C. Hannah",20211327,25759,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/34/30/0000463430_03.jpg",1662037200
"S. Momirov",30001889,26589,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/59/51/0000465951_03.jpg",1662037200
"S. Momirov",30001889,26599,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/59/41/0000465941_03.jpg",1662037200
"S. Bamforth",20210661,26602,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/58/87/0000465887_03.jpg",1662037200
"S. Bamforth",20210661,26594,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/59/01/0000465901_03.jpg",1662037200
"E. Happ",30001954,26597,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/57/49/0000465749_03.jpg",1662037200
"E. Happ",30001954,26587,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/57/57/0000465757_03.jpg",1662037200
"M. Lukovic",20212429,26596,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/58/44/0000465844_03.jpg",1662037200
"M. Lukovic",20212429,26205,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/58/39/0000465839_03.jpg",1631664000
"V. Arteaga",20200296,26586,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/59/79/0000465979_03.jpg",1662037200
"V. Arteaga",20200296,26233,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/59/75/0000465975_03.jpg",1663160400
"R. Macoha",20213018,26348,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/36/45/0000463645_03.jpg",1662037200
"R. Macoha",20213018,26271,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/36/33/0000463633_03.jpg",1662037200
"B. Bagayoko",20213102,26353,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/33/99/0000463399_03.jpg",1662037200
"B. Bagayoko",20213102,26253,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/33/92/0000463392_03.jpg",1662037200
"C. Eyenga",20203835,26109,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/34/12/0000463412_03.jpg",1662037200
"C. Eyenga",20203835,26351,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/34/17/0000463417_03.jpg",1662037200
"N. Nenadic",30001956,26598,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/58/60/0000465860_03.jpg",1662037200
"N. Nenadic",30001956,26591,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/58/74/0000465874_03.jpg",1662037200
"S. García",20210685,26593,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/59/12/0000465912_03.jpg",1662037200
"S. García",20210685,25757,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/59/05/0000465905_03.jpg",1625119200
